	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
공포	꺼림찍한 냄새와 함께 생전 경험해보지 못한 공포를 느꼈다. 	공포를 느꼈다	나는 이따금 찾아오는 공포스러운 고독함을 가장 경계해야 했다. 	공포스러운	공포영화를 볼 때면 되려 살아있음을 자각했다. 	공포	공포의 떠는 그의 모습은 실로 볼 만 했다.	공포에 떠는	그는 극도의 공포에 휩싸여 내가 건네는 말조차 들리지 않는 것 같았다. 	공포	어린시절 각인된 공포는 오랜 시간이 지나도 극복하기 힘들다.	공포
노하다	믿었던 동지들의 배신에 장군은 어느때보다도 크게 노했다.	노했다	노한 외침은 집 밖까지 퍼져 온 마을을 울렸다.	노한	밀밭을 뒤덮는 화염처럼 순식간에 노하여 미처 말릴 새 조차 없었다.	노하여	이장님이 노하기라도 하는 날에는 집에만 있어야 했다.	노하기라도	노한 황태자는 시종을 고문하며 그 분노를 잠재우곤 했다. 	노한	크게 노하여 깨달음을 얻기 전까지 돌아오지 말라는 유배를 내렸다.	노하여
분노하다	무엇보다도 최선을 다해 노력하지 않은 자신에게 분노했다. 	분노했다	분노한 그를 가라앉히기 위해 그곳에서 데리고 빠져나왔다.  	분노한	원혼은 분노하여 대대로 이어질 저주를 남겼다.	분노하여	십여년간 회사에 헌신한 그녀에 대한 태도에 분노했다. 	분노했다	다수의 분노에 정신이 흐려지는 순간을 무엇보다도 경계해야 한다. 	분노	분노를 올바르게 발산한다면 때론 좋은 동기부여가 되기도 한다.	분노
성나다	성이 나서 제 마음도 모르고 울려대는 타이머를 노려보았다.	성이 나 	성난 듯 내리는 소나기를 받아내기에 내 우산은 너무 연약했다.	성난	제 이야기처럼 성나고 억울하여 눈물이 쏟아졌다.	성나고	성난 황소처럼 달려드는 그를 향해 총을 겨눴다.	성난	성이 나 애꿎은 나를 위아래로 훑어보더니 나에게로 비난의 화살을 돌렸다.	성이 나 	부당한 처지에 성을 내보기는 커녕 체념하여 아무 말 없이 끄덕이고 있었다. 	성을 내보기
소름끼치다	고난 속에서도 만개한 찬란한 재능에 소름끼쳤다.	소름끼쳤다	꿈에 그리던 작품을 실현하였을 때의 소름끼치는 감각을 아직까지도 잊을 수 없다. 	소름끼치는	본인을 평가하는 듯한 시선에 소름끼쳐 그 공간에 한 순간도 더 머무르고 싶지 않았다. 	소름끼쳐	타국의 음침한 계략에 소름끼칠 지경이었다. 	소름끼칠	금이 가 있던 지지대가 소름끼치는 소리를 내며 끊어지기 시작했다. 	소름끼치는	목덜미에 돋은 소름을 애써 매만지며 평정심을 유지하려 애썼다.	소름
혼비백산하다	라이터를 들고 불을 붙이려는 괴한에 승객들은 모두 혼비백산했다.	혼비백산했다	혼비백산하는 와중에도 중요한 서류들을 모두 챙긴 지도자에 감탄했다. 	혼비백산하는	제 신발이 벗겨진 줄도 모른 채 혼비백산하여 달아나는 선비를 지켜보았다.	혼비백산하여	장내는 혼비백산하여 빠져나가려는 사람들로 가득했다.	혼비백산하여	약혼자를 밀쳐가며 혼비백산하는 사람이랑 결혼하면 후회할거야. 	혼비백산하는	귀신의 집에서 혼비백산하며 뛰쳐나오는 이가 반이었다. 	혼비백산하며
화나다	주최 측의 부실한 관리로 진심을 다한 작품이 일방적으로 훼손당했다는 사실에 화났다.	화났다	불의를 참지 못한 나의 화난 모습에 그제서야 동조하는 방관자들이 역겨웠다. 	화난	피해자처럼 구는 가해자의 모습이 변호사를 더욱 화나게 만들었다.	화나게	반성의 기미도 없이 건성으로 구는 태도가 화를 부추겼다. 	화를 부추겼다	제 자식이 눈물을 흘리며 화내는 모습에도 전혀 요동하지 않는 모양이었다. 	화내는	엉성한 일처리에 기가 차다 못해 화날 지경이었다. 	화날
감흥	주제에 부합하지 않는 작품들의 모임은 아무런 감흥도 불러일으키지 못했다.	감흥을 불러일으키다	수많은 죄악을 저질렀기에 그 죄수는 살인에 대한 재판을 받으면서도 아무런 감흥이 없었다.	감흥이 없다	나와는 상관 없는 얘기네요, 하고 커피를 한 모금 넘겼다. 어느순간부터 타인으로 규정한 사람의 일에는 감흥이 나지 않았다. 	감흥이 나지 않았다	감흥없이 반복되는 일상이 무료할 정도였다.	감흥없이	감흥에 겨워 	감흥	전시장에 채워진 각 작품들마다 감흥이 달랐다. 	감흥
뭉클하다	나를 걱정한 단 한 사람의 공백을 떠올리면 항상 가슴이 뭉클하다.	뭉클하다	씩씩하게 잘 자란 아이를 바라보면 언제나 뭉클한 마음뿐이었다.	뭉클한	여전히 어릴 적 들었던 자장가를 들으면 가슴이 뭉클하여 눈물을 훔쳐야 했다.	뭉클하여	무심하게 자신을 배려하는 친구의 행동에 뭉클했다. 	뭉클했다	뭉클한 마음으로 무대에 오른 아이들을 바라보았다.	뭉클한	마이크 앞에 선 그녀는 뭉클함이 밀려오는지 말을 이어나가기 힘들어허보였다.	뭉클함
애틋하다	떠날 때가 되니 자신이 일상이 되어버린 공간이 그저 애틋하였다. 	애틋하였다	망설임없이 보내주면서도 애틋한 눈길 한 자락을 보낸 당신을 하루도 잊지 않고 있습니다.	애틋한	마지막 인사를 나누며 자신이 가장 사랑했던 사람을 애틋하게 쓰다듬었다. 	애틋하게	편지로만 안부를 묻는 사이였으나 누구보다도 애틋했다. 	애틋했다	모르는 사람들이 자신을 애틋하게 바라보는 시선이 부담스러웠다. 	애틋하게	다가갈 수 없는 상황에 절망하며 애틋하게 창문을 매만졌다. 	애틋하게
연모하다	온 힘을 다해 연모하였기에 되돌아보았을 때 후회는 없었다. 	연모하였기에	깊이 연모하는 마음을 감출 길 모르겠네	연모하는	추앙하는 저들의 꼴은 순수한 연모를 넘어선 숭배였다. 	연모	저녁 즈음 문 앞에 연서를 놓고 가는 둥 연모하는 마음을 숨길 의지조차 없어보였다. 	연모하는	목숨을 바침으로서 당신이 살아있어주니 그저 기쁘시다며 깊이 연모하신다는 말을 전해달라 하셨습니다.	연모하신다는	연모의 불길을 사그라들지 않아 다시금 얼굴을 보아야만 살 수 있을 것 같았다.	연모
황송하다	처음 받아보는 호화로운 서비스에 황송했다.	황송했다	분에 못 이겨 난동을 부린 것 치고 화풀이 대상이 도적이었다는 이유만으로 난봉꾼은 황송한 대우를 받았다.	황송한	망설임없이 허리를 굽혀 감사를 표하는 사람들에 되려 황송하여 나 또한 허리를 굽혔다.	황송하여	가능성 하나만으로 아낌없이 응원을 보내는 후원자들이 그저 황송했다. 	황송했다	분에 넘치는 것을 받는다며 황송하여 손사래를 쳤다.	황송하여	사절단은 귀한 비단을 바치며 황송한 마음을 조금이라도 표현해보고자 하였다며 아부를 떨었다. 	황송한
가소롭다	나를 다 이해한다는 그 섣부른 공감과 위로가 가소로웠다.	가소로웠다	가소롭지만 당찬 신입의 패기에 모두들 고개를 돌렸다.	가소롭지	말이라도 한 번 걸고자 시도하는 사람들을 가소롭게 여겼다. 	가소롭게	자신은 이제 다 컸다며 간섭하지 말라고 성질을 내는 것이 그저 가소로웠다. 	가소로웠다	목적을 가지고 시작되는 우정은 가소롭기 그지없다.	가소롭기	가소롭게 여긴 것 치고는 그는 꽤나 난항을 겪었다. 	가소롭게
가책	모두를 배반했다는 가책에 시달렸다. 	가책에 시달렸다	이전과 다름없는 다정한 태도에 양심의 가책을 느꼈다.	가책을 느꼈다	어디 양심의 가책만큼 외면하기 쉽고, 거스르기 어려운 것이 있던가요.	가책	실수로 인해 큰 민폐를 끼친 것 같아 몹시 가책이 되었다. 	가책	선임으로부터 받은 심한 가책이 채 가시질 않아 매일 두통을 달고 살았다. 	가책	어머니를 잃은 날을 회상하기만 하면 가책에 시달렸다.	가책
거북하다	사람에게 순위를 매겨 품평하는 말들을 듣기 거북했다.	거북했다	무례하고 거북한 태도에 덩달아 인상을 찌푸렸다. 	거북한	머리 아플정도로 향이 가득 찬 공간이 거북하여 자리를 옮겼다. 	거북하여	길거리에서 들리는 선을 넘는 욕설은 듣기 거북하다. 	거북하다	불쾌한 체취로 가득한 공간이 거북해 재빨리 빠져나왔다.	거북해	거북한 속을 달래려 물을 연신 삼켜댔다. 	거북한
고깝다	내가 받은 상처는 보이지도 않는 듯 다가오는 그가 참으로 고까웠다. 	고까웠다	필요할 때만 연락하는 친구가 고깝다는 생각이 들었다. 	고깝다	자신을 고깝게 쳐다보는 상대를 빤히 바라보았다. 	고깝게	자신을 아랫사람 대하듯 구는 태도가 몹시도 고까웠다.	고까웠다	사춘기 때에는 제 의사와 상관없이 모든 것이 정해져 있는 상황에 대해 고까운 생각이 들기 마련이다.	고까운	공정한 과정을 거쳐 선발되었으니 행여나 고깝게 여기지는 말았으면 하네. 	고깝게
꺼리다	그는 잠행을 나왔기 때문에, 신원을 밝히는 것을 꺼렸다.	꺼렸다	며칠 전 심하게 탈이 난 시녀는 길거리 음식을 꺼리는 기색이었다. 	꺼리는	신께 맹새코, 양심에 꺼릴 행동은 하지 않았습니다. 	꺼릴	내 친구는 낯을 많이 가려서 타인과의 접촉을 꺼리는 편이다. 	꺼리는	정의를 위한 일이기는 하나 폭력을 휘두르는 것은 못내 꺼리는 기색이었다. 	꺼리는	새로운 도전에 꺼릴 새도 없이 현장에 뛰어들어 맡은 일을 해내야만 했다. 	꺼릴
떫다	그의 정인이 약조한 기간이 지났고, 집 마당의 열매는 아직 떫었다. 	떫었다	원하던 것을 얻어내지 못해 떫은 표정이었다. 	떫은	그 기사는 국기를 향해 떫은 웃음을 한 번 짓고는 돌아섰다. 	떫은	떫은 커피를 만드는 떫은 표정의 바리스타를 마주하는 것을 가식적이라고 생각하게 되는 순간이 두렵다.	떫은	오랜만의 재회였지만 떫게만 느껴지는 대화가 그저 우리 사이에 부유하고 있을 뿐이었다. 	떫게	잎의 떫은 맛이 되려 식욕을 돋군다. 	떫은
마땅찮다	불행의 무게가 너무나 막중해서, 도움을 구하는 것 조차 마땅찮았다.	마땅찮았다	그리던 고향을 밟은 것 치곤 그는 마땅찮은 표정을 지었다.	마땅찮은	무례한 사람들이 나를 마땅찮게 보는 것을 알면서도 지금은 참아야 했다.	마땅찮게	이주민에 대한 마땅찮은 태도는 누군가에게 큰 상처가 되곤 한다. 	마땅찮게	함께 시간을 보내기에는 언제나 어긋나고 마땅찮은 일정이 원망스러울 지경이었다.	마땅찮은	사회가 애써 외면하는 사람들은 도움을 구하기도 마땅찮았다. 	마땅찮았다
불만족하다	일정을 최대한 여유롭게 잡은 계획조차 그는 불만족했다.	불만족했다	불만족스러운 표정에 나 또한 사기를 잃었다.	불만족스러운	전광판에 떠오르는 새로운 화보사진을 팔짱을 낀 채 불만족스럽게 바라보고 있었다. 	불만족스럽게	불만족스러운 마음을 밖으로 꺼낸 후에 이어지는 타인의 평가가 내지는 견적을 내리는 듯한 상황이 두렵다. 	불만족스러운	불만족스러웠지만 마땅한 해결책이 없었기에 쓴웃음을 지으며 그 제안을 수락했다.	불만족스러웠지만	불만족하다는 그 건방진 태도에 음식을 더 내오려는 마음조차 사라졌다. 	불만족하다
서러워하다	인지부조화 내지는 언제나 겉도는 자신의 처지에 서러워했다. 	서러워했다	땅을 울릴 듯 서러워하는 울음도 떠나는 이를 붙잡기에는 부족했다. 	서러워하는	계속 서러워하게 있도록 둘 수는 없어 따뜻한 차를 건네며 다가갔다.	서러워하게	그 지원자는 한 번만이라도 기회를 달라며 몹시 서러워했다. 	서러워했다	나도 언니랑 함께 놀고 싶다며 서러워하는 동생을 두고 떠나려니 마음이 무거웠다. 	서러워하는	그는 늘 자신의 처지를 원망하며 서러워했다. 	서러워했다
설워하다	부친의 억울한 죽음을 되돌릴 수조차 없어 몹시 설워하였다. 	설워하였다	제 결정에 설워하는 나를 두고 떠났다. 책임지지 않을 바엔 함부로 달래지 말라는 나의 말을 지독히도 잘 듣는 사람이었다. 	설워하는	죄를 뒤집어 쓴 신세를 설워하며 식음을 전폐하였으나 들어주는 이 하나 없었다.	설워하며	생을 함께한 날보다 그러지 못하는 날들이 더 길다는 사실에 설워했다.	설워했다	괴물 가문이라며 낙인찍힌 사실에 대해서 설워했다. 	설워했다	생전에 유산 하나 남겨주지 못하는 당신의 처지를 설워하시곤 했다.	설워하시곤
싫증나다	제 멋대로 의미를 부여하고 의무를 강요하는 사람들에게 싫증이 났다.	싫증이 났다	가지고 있던 것들에 싫증난 아이는 물건을 마구잡이로 던지기 시작했다.	싫증난	나의 처지 한탄이 싫증날 법 함에도, 내 친구는 묵묵히 자리를 지켜주었다.	싫증날	온갖 장난감을 던지며 싫증내는 그 모습은 온데간데없고 차분히 앉아 책을 읽고 있었다. 	싫증내는	서로에게 싫증날대로 싫증난 사이에도 사랑이 분명 존재했다면 거짓일까? 	싫증난	작은 아이가 아무리 같은 질문을 해도 싫증나지 않는 감각이 생경했다. 	싫증나지
심란하다	이미 굳게 닫혀버린 마음을 돌릴 방안을 통 알 수가 없어 심란하였다. 	심란하였다	심란한 마음의 무게가 너무나 막중하여 옴짝달싹하지 못할 때가 있다. 	심란한	심란하여 작은 가방을 들고 무작정 밖으로 나왔다. 집에만 있으면 나아가지 못할 것 같았다. 	심란하여	최종 발표가 몇 시에 나올지 몰라 마음이 심란해서 무엇도 손에 잡히질 않았다. 	심란해서	심란할 때는 항상 똑같은 활자가 적힌 책을 여러 번 읽으면 도움이 된다.	심란할	약속한 날이 다가올수록 괜히 심란해지는 것이 싫어 무작정 여행을 떠났다. 	심란해
어처구니없다	그제서야 내 편을 드는 사람들이 스멀스멀 기어나왔다. 모든 상황이 정말 어처구니없다. 	어처구니없다	상황을 이렇게 만든 주범들이 가만히 앉아 큼큼대는 것이 참으로 어처구니가 없었다.	어처구니가 없었다	순식간에 변모한 대중의 태도가 너무 어처구니없어 대응할 필요성조차 느끼지 못했다. 	어처구니없어	나를 버릴 땐 언제고 앞에서는 어쩔 수 없었다는 듯 오열하는 모습이 어처구니없었다.	어처구니없었다	어처구니없게만 다가오는 현실을 마주하고 섰을 때의 당혹감은 이루 말할 수 없다.	어처구니없게	동료의 어처구니없는 솜씨에 경악을 금치 못했다. 	어처구니없는
언짢다	연초 사주를 보며 돈을 내고 혼나는 것 같아 속이 언짢았다. 	언짢았다	상부의 지시로 나를 도와주는 게 못내 언짢은 듯, 서류를 툭 툭 내려놓았다. 	언짢은	가만히 앉아 고개만 끄덕이는 모습이 적지않게 언짢아 보였다. 	언짢아	제 딴에는 선배랍시고 이리저리 나서는 꼴이 보기 언짢았다. 	언짢았다	기억나지 않는 순간부터 계부는 나의 존재를 언짢게 여겼다. 	언짢게	그 사무관은 언짢은 표정으로 내가 내민 종이를 받었다. 	언짢은
우려하다	지대가 낮은 곳에 거주하는 사람들은 매 여름 마다 침식을 우려했다. 	우려했다	우리의 역사를 부정하는 결정을 내린 정부에 대한 우려하는 목소리가 커지고 있다. 	우려하는	본국의 경쟁력이 떨어질 것을 우려하여  각 국의 독립을 필사적으로 막아야 했다. 	우려하여	시대를 앞서가는 사상에 그 사업가가 되려 위협을 받을까 우려했다. 	우려했다	가족들의 우려하는 모습은 든든하기도 하지만 내가 망설이게 되는 요인이기도 하다. 	우려하는	홀로 지내는 나를 우려하며 반찬 여러개를 챙겨 주셨다. 	우려하며
유감	심려를 끼쳐 드려 유감으로 생각합니다. 	유감	유감스러운 마음에 드리는 선물이니, 괘념치 말고 받아주세요.	유감스러운	저 또한 그쪽에 유감이 많습니다. 	유감	이번 인사평가에서 승진을 하지 못해 유감스러운 마음이었다. 	유감스러운	당신은 이야기라도 해보려는 저더러 우리 관계가 이렇게 된 게 유감스럽다는 말만 했지만 사실은 저 또한 그랬습니다. 	유감스럽다	지켜보는 내가 다 유감스러워지는 애매한 재능이 있다. 	유감스러워지는
절절하다	유리벽 하나를 두고 나누는 안부인사는 무척 절절했다. 	절절했다	절절한 이별도 그저 포장했을 뿐인 이별이라는 것을 너무 늦게 깨달았다.	절절한	매일 오던 연락도 마지막이라고 생각하니 절절하게 다가왔다. 	절절하게	몇 개월 만에 만나서 받은 편지의 내용은 몹시 절절했다. 	절절했다	제가 제 이야기를 많이 하긴 했지만, 그저 절절한 마음으로 다가오는 사람들이 부담스러워요.	절절한	자신에게 한 번만 더 기회를 달라며 무릎을 꿇고 절절하게 애원했다. 	절절하게
창피하다	사활을 걸던 프로젝트에 실수가 있다는 사실이 무척 창피했다.	창피했다	제가 저지른 짓에 대해 깊이 반성하고 있으며, 내내 창피한 마음으로 살아가겠습니다. 	창피한	최선을 다하지 않았다는 사실이 창피하여 고개조차 들지 못했다. 	창피하여	그러니까 우리는 존재하지도 않는 허상에 창피하고 멍청하게 놀아난거지? 	창피하고	나한테 이런 모습을 보이게 된 것이 몹시 창피해보였다.	창피해	아버지의 어리석은 선택은 내 얼굴이 다 화끈거리고 혈연인 것이 창피하게 여겨질 정도였다. 	창피한
후회하다	그 지도자는 자신의 선택을 깊이 후회했다. 	후회했다	되돌일 수 없다는 걸 알면서도 후회하는 사람의 등만큼 초라한 게 있을까.	후회하는	다시는 그러지 않겠다고 다짐하고, 크게 후회하며 나아가는 수 밖에 없었다. 	후회하며	상황을 차분히 파악하지 않고 섣부르게 선택한 것을 크게 후회했다.	후회했다	너는 언제나 뒤늦게 후회하는 모습을 보란듯이 보여주곤 했다.	후회하는	지난 날의 잘못을 후회하더라도 그 순간에 잠식되거나 매모로디지는 말아야 한다.	후회하더라도
낯뜨겁다	낯 뜨거운 모습을 드러냈을 때, 기이하게도 가장 큰 소속감을 느낀다. 	낯 뜨거운	눈으로 보고 있어도 믿기 힘든 낯뜨거운 일이었다. 	낯뜨거운	낯 뜨거워 그 자리를 박차고 나갔다. 	낯 뜨거워	그는 돌연 생각을 달리하였는지 나에게 낯 뜨겁게 굴었다.	낯 뜨겁게	그 연인은 장소를 가리지 않고 낯 뜨거운 애정행각을 나누어 여러 번 곤혹스러운 일을 겪었다.	낯 뜨거운	바라보기만 해도 낯 뜨겁다며 손으로 부채질을 하곤 자리를 떴다. 	낯 뜨겁다
기고만장하다	어떤 사람이건 한 번 권력을 쥐면 기고만장해진다. 	기고만장해진다	제 실력이 아니라 청탁으로 얻은 상패를 안고 있는 기고만장한 그를 마주하고 있으니, 분노가 끓어올랐다.	기고만장한	기고만장하여 나를 가르치려 드는 꼴이 몹시 아니꼬웠다. 	기고만장하여	함꼐 노력한 성과를 모두 자신의 공로로 여겨 기고만장하며 돈을 흥청망청 써댔다. 	기고만장하며	기고만장하게 구는 사람들의 모습은 미성숙하게 보인다.	기고만장하게	기고만장하는 순간에 생각치 못한 실수가 드러나길 마련이다.	기고만장하는
비장하다	어느때보다 비장하였다. 	비장하였다	막대한 책임감과 비장한 각오로 책상에 앉았다. 	비장한	어딘가 비장해 보이는 그를 지나쳤다. 	비장해	신기술을 발표하는 자리에서 사회자는 누구보다도 비장했다. 	비장했다	그 군인은 돌아오면 할 일들에 대해서 한참을 이야기하다가 비장하게 떠났다. 	비장하게	비장한 각오로 시작하는 사람들은 일찍 지치기도 한다.	비장한
아슬아슬하다	황제의 분노가 누구를 향할 지 몰라 분위기는 긴장을 놓을 수 없었고 몹시 아슬아슬하였다. 	아슬아슬하였다.	생사가 달린 아슬아슬한 상황 속에서도 침착을 유지하는 선생님이 존경스러웠다. 	아슬아슬한	떨리는 손으로 공부하는 그녀는 벼랑 끝에 선 듯, 아슬아슬해 보였다. 	아슬아슬해	사람들을 제치며 숨이 모자랄만큼 빠르게 달렸지만 시간이 아슬아슬했다. 	아슬아슬했다	아슬아슬해 보이지만 절대 무너지지 않은 돌은 관광명소가 되었다.	아슬아슬해	일말의 희망 없이 절망감을 갖고 임한 내 첫 수술은 아슬아슬하게 성공했다. 	아슬아슬한
애끓다	누구도 자신을 믿어주지 않아 그는 몹시 애끓었다.	애끓었다	애끓는 마음을 애써 외면하였다. 	애끓는	애끊게 울부짖는 배우의 연기를 보고 나도 모르게 눈물을 흘렸다. 	애끓게	그의 회피적인 성향은 나를 애끓게 만들었다. 	애끓게	그의 애끓는 눈동자에는 오직 나만이 존재했다. 	애끓는	약간의 취기와 지금이 마지막 만남일 수도 있다는 불안감이 두 사람을 애끓게 만들었다.	애끓게
역정	기나긴 역정을 거치고 마침내 도달한 조국이었다. 	역정	그 허수아비 황제는 충언을 건넨 신하에게 역정을 내었다. 	역정	이도저도 못하는 상황에 그 지도자는 역정이 많이 난 듯 하였다. 	역정	할머님께서는 역정을 내는 자신의 아이를 슬픈 눈으로 그저 바라볼 뿐이었다. 	역정	그는 자신의 역린에 대해 일말의 언급이라도 하는 사람에게 크게 역정을 내곤 했다.	역정을 내곤	직원은 역정을 내는 손님의 이야기를 그저 듣고 있었다. 	역정을 내는
조마조마하다	그 신입은 자신의 실수가 드러날까 조마조마하였다. 	조마조마하였다	조마조마한 마음을 가라앉혔다.	조마조마한	조마조마하여 쓰러지지 않게 버티는 것이 고작이었다.	조마조마하여	실수를 들킬까 조마조마한 마음뿐이었다. 	조마조마한	조마조마한 마음으로 엄격한 상사에게 검토받을 서류를 준비했다. 	조마조마한	겨우 단상대에 오른 발표자를 조마조마하게 바라보았다. 	조마조마하게
조바심	일정에 차질이 생길까 조바심을 냈다. 	조바심을 냈다	이전과 같은 습격이 계속될 것 같아 조바심으로 몸을 떨었다. 	조바심	누군가 자신을 알아볼까 하는 조바심에 전전긍긍하였다. 	조바심	이전의 당당함은 온데간데없이 조바심을 감추려고 노력하는 모습이 안타까워 보일 정도였다. 	조바심	눈길로 시계 초침이 움직이기라도 하는 듯 재차 확인하며 조바심을 냈다. 	조바심을 냈다	의료진을 붙잡으며 울부짖는 그는 조바심을 감추려는 여유조차 없어보였다. 	조바심
가련하다	늙고 초라한 그의 모습은 참으로 가련하였다. 	가련하였다	가련한 상황 속에서도 포기하지 않는 당참이 빛났다.	가련한	자신의 처지가 가련하여 술을 들이켰다.	가련하여	사람을 경계하는 모습이 더욱 가련했다. 	가련했다	가련한 모습에 손을 내밀어주지 않을 수 없었다. 	가련한	비를 맞고 있는 모습이 한없이 가련해 보였다. 	가련해
가엾다	의지할 곳 하나 없이, 홀로 남겨진 친구의 상황이 가엾다. 	가엾다	가엾은 사람한테 함부로 정을 주지 말아야 한다.	가엾은	홀로 떠나기 위해 짐을 싸는 과정조차 한없이 가엾어 보였다. 	가엾어	자신을 사랑해주는 사람이라고는 존재하지 않는 것 같다며 가엾게 울었다. 	가엾게	가엾은 친구의 상황에 나도 모르게 눈물이 흘렀다.	가엾은	하루사이에 가족을 모두 잃은 사촌동생이 가엾어 보였다.	가엾어
겸연쩍다	흡연자인 것은 알고 있었으나, 함께 담배를 피우기는 어딘가 겸연쩍었다.	겸연쩍었다	그녀는 겸연쩍은 얼굴로 초대장을 받아들고 떠났다.	겸연쩍은	겸연쩍게 웃으며 말을 건네는 모습에 웃음이 나왔다.	겸연쩍게	그 일이 있은 후에 우연히 만나기라도 하는 날이면 겸연쩍게 자리를 피했다. 	겸연쩍게	겸연쩍은 웃음과 함께 등장한 그는 모두의 관심을 받았다.	겸연쩍은	자신이 생각했을 때도 스스로가 겸연쩍은지 목을 매만졌다.	겸연쩍은지
머쓱하다	이렇게 격식있는 자리에서 사람들을 마주하니 머쓱하였다. 	머쓱하였다	핀잔을 잔뜩 들어 머쓱한 모양이었다.	머쓱한	신나게 학창시절 이야기를 하다 머쓱하게 나를 바라보았다. 	머쓱하게	그녀는 할 말이 없어지면 머쓱하게 짧게 자른 뒷머리를 쓱쓱 매만지곤 했다. 	머쓱하게	진심이라는 것이 본디 눈길 하나에서 티 나는 법이라며 머쓱해했다.	머쓱해했다	자신에 대한 칭찬만이 이어지는 대화의 흐름이 머쓱한 듯 주제를 돌리려고 했다. 	머쓱한
동정하다	이전의 나와 겹쳐보이는 그녀를 동정했다.	동정했다	그의 처지에 동정하는 마음으로 짧은 위로를 건네었다. 	동정하는	내 너를 동정하여 곁을 내어주었거늘, 이리 보답하는구나.	동정하여	동정하는 눈빛이 좀 잠잠해지다 싶었더니 이젠 가해자 취급을 받네요.	동정하는	필요 이상의 동정은 무례가 될 수도 있다.	동정	얼굴 한 번 마주해보지 않은 상대에게 동정심이 일었다. 	동정심
불쌍하다	말 하나에 일희일비하는 스스로가 불쌍했다.	불쌍했다	불쌍한 사람들은 서로를 도우며 위기를 현명히 헤쳐나갔다. 	불쌍한	비를 맞으며 오지 않을 이를 기다리는 모습이 불쌍하게 보였다. 	불쌍하게	구멍 뚫린 운동화를 기워서 몇 년간 신고 있는 모습은 불쌍했다.	불쌍했다	그녀는 불쌍한 척을 하며 자신이 원하는 대로 상대방을 주무르곤 했다. 	불쌍한	불쌍하지도 않냐며 바락 화를 낼 때면 몹시 당황스러운 것이었다.	불쌍하지도
멋쩍다	화해는 했지만, 한 자리에서 보니 괜히 멋쩍었다.	멋쩍었다	이제서야 대답하는 스스로가 멋쩍은지 내 눈치를 살폈다. 	멋쩍은	곤란한 질문에 멋쩍어 하며 시선을 피했다. 	멋쩍어	동창들을 다시 보기 멋쩍었는지 그는 동창회에 참석하지 않았다.	멋쩍었는지	멋쩍은 웃음을 보이며 교실을 나선 후에는 그를 본 사람이 없었다. 	멋쩍은	멋쩍게 거절하나 싶더니 초대장을 휙 낚아채곤 사라졌다.	멋쩍게
샐쭉하다	성미에 차지 않았는지 몹시 샐쭉하였다. 	샐쭉하였다	직원은 적은 팁을 받고선 샐쭉한 표정을 지었다.	샐쭉한	정인을 마주한 그녀는 수줍은 듯 샐쭉하며 연하게 웃었다. 	샐쭉하며	입술을 샐쭉하고 웃으며 나한테 다정하게 말을 걸었다. 그녀만의 부탁 방법이었다.	샐쭉하고	다른 사람들이 가득한 연회장에서는 샐쭉하며 나를 모른체하였다. 	샐쭉하며	내가 건넨 손수건을 받으며 표정은 샐쭉하였지만 내심 좋아하는 것 같았다. 	샐쭉하였지만
싱숭생숭하다	4년간 몸담았던 곳을 떠나며 몹시 싱숭생숭하였다.	싱숭생숭하였다	싱숭생숭한 마음까지 모두 캐리어에 담았다. 	싱숭생숭한	싱숭생숭하여 가만히 강의 윤슬을 바라보고 있던 참이었다.	싱숭생숭하여	그녀를 떠나보내고도 찾아오는 봄이라는 계절의 설렘에 싱숭생숭했다.	싱숭생숭했다	그녀는 나고 자란 지역을 떠나며 싱숭생숭한 기분이 들었다.	싱숭생숭한	다른 진로를 결심한 후에 인사를 하고 싱숭생숭하게 학원을 나왔다. 	싱숭생숭하게
쑥스럽다	이런 식으로 재회하게 되어 쑥스러웠다.	쑥스러웠다	쑥스러운 속내를 감추고 악수에 응했다.	쑥스러운	쑥스럽게 상패를 받아들었다.	쑥스럽게	자신에 대한 미담을 읽어야 하는 상황이 몹시 쑥스러웠다.	쑥스러웠다	쑥스러운지 아무 말 없이 고개만을 끄덕일 뿐이었다.	쑥스러운지	자신에 대한 칭찬을 들으면 얼굴이 붉어지며 쑥스러워했다.	쑥스러워했다
아쉽다	간만의 만남이었지만, 혼자만의 시간이 침범받은 느낌이 들어 내심 아쉬웠다. 	아쉬웠다	시계를 한 번 쳐다보고서 아쉬운 마음으로 일어섰다. 	아쉬운	저는 아쉽게 헤어지면 다음 만남을 앞당기게 되던데요.	아쉽게	불모지에서 만난 사람처럼 반가운 친구와의 헤어짐은 너무나도 아쉬웠다.	아쉬웠다	가족과의 재회는 아쉬워하는 시간조차 빠르게 흘렀다. 	아쉬워하는	앞으로의 앞날에 대해서는 아쉽게도 다음을 기약해야 했다. 	아쉽게도
