단어	소속	세부소속	예문 1	변형 단어	예문 2	변형 단어	예문 3	변형 단어																	
서로를 어루만진다.	행복하다	좋다	우리는 끊임없이 서로를 어루만졌다. 시간이 얼마나 지났을까. 벌써 아침이 되었다.	서로를 어루만졌다.	그녀의 따뜻한 말은 나의 마음을 어루만져줬다.	어루만져줬다.	서로를 어루만지는 것은 서로의 사랑을 느끼는 가장 좋은 방법이다. 나는 그걸 몸소 느끼고 있다. 	서로를 어루만지는 것																	
뜨겁게 입을 맞춘다.	행복하다	좋다, 반하다	그녀와의 뜨거운 입맞춤에 나는 깨달았다. 내가 그녀에게 완전히 매료됐다는 사실을.	뜨거운 입맞춤에	한참을 싸우다가 순간적으로 눈이 맞아 뜨겁게 입맞춤을 맞췄다. 우리가 화해하는 방식이었다.	뜨겁게 입맞춤을 맞췄다.	첫 데이트에서의 뜨거운 입맞춤으로, 서로에게 반하게 되었다.	뜨거운 입맞춤으로																	
가볍게 입을 맞춘다.	편안하다	정겹다	오랜 친구와의 가벼운 입맞춤은 언제나 정겹다.	가벼운 입맞춤은	가볍게 입맞추며 인사하는 그들의 모습이 참으로 정겹다.	가볍게 입맞추며	아침에 엄마가 아이의 이마에 가볍게 입맞추는 것을 보니, 가정의 정겨움이 느껴진다.	이마에 가볍게 입맞추는 것																	
함께 눈물을 흘린다.	행복하다	좋다	어려움을 함께 겪으며 눈물을 흘릴 때, 우리는 서로가 얼마나 좋은지 깨닫는다.	눈물을 흘릴 때	함께 눈물을 흘리며, 그 순간의 슬픔이 오히려 좋게 느껴졌다. 우리는 서로에게 의지하고 있음을 느꼈다.	함께 눈물을 흘리며	그녀의 노력이 드디어 결실을 맺었다. 나는 너무나도 기뻐 그녀와 함께 눈물을 흘렸다.	그녀와 함께 눈물을 흘렸다.																	
기쁨에 도취하여 넋이 빠진다.	행복하다	좋다	기쁨에 도취하여 넋이 빠진 그의 얼굴에서는 만족스러움이 묻어났다.	기쁨에 도취하여 넋이 빠진	친구들과 함께한 성공적인 프로젝트 발표 후, 우리 모두 기쁨에 도취하여 마치 꿈을 꾸는 것 같았다.	기쁨에 도취하여	그녀는 졸업식에서 이름이 호명될 때, 기쁨에 도취하여 잠시 현실감을 잃었다.	기쁨에 도취하여																	
눈을 반짝인다.	행복하다	기쁘다, 행복하다	아이가 선물을 받고 눈을 반짝이며, 그 순간의 기쁨과 행복이 가득했다.	눈을 반짝이며	그녀의 성공 소식을 듣고 눈을 반짝이며, 기쁘고 행복해했다.	눈을 반짝이며	첫 눈이 오는 것을 보며 눈을 반짝이는 순간, 진정한 기쁨과 행복을 느꼈다.	눈을 반짝이는 순간																	
긴장이 풀린다.	편안하다	편안하다, 안정되다	집에 돌아와 긴장이 풀리자, 편안함과 안정감을 느꼈다.	긴장이 풀리자	친구와의 대화로 마음의 긴장이 풀리며, 마음이 편안해졌다.	긴장이 풀리며	숲 속 깊은 곳에서 긴장이 풀리고, 온전히 안정을 찾았다.	긴장이 풀리고																	
손을 맞잡는다.	편안하다	공감하다, 애틋하다	친구의 어려움을 듣고 공감하여 손을 맞잡았다.	손을 맞잡았다	오랜 시간을 함께한 친구와의 이별에서 손을 맞잡으며 애틋한 마음을 전했다.	손을 맞잡으며	위로가 필요한 순간, 손을 맞잡으며 서로에게 힘을 주었다.	손을 맞잡으며																	
미소가 피어오른다.	행복하다	좋다, 기쁘다	좋은 소식을 듣고 저절로 미소가 피어올랐다.	미소가 피어올랐다	아이의 첫 걸음마를 보며 기쁜 마음에 미소가 피어올랐다.	미소가 피어올랐다	오랫동안 기다린 성공의 순간, 미소가 절로 피어올랐다.	미소가 절로 피어올랐다																	
감격의 눈물을 흘린다.	감동하다	감동하다	가족의 사랑을 느끼며 감격의 눈물을 흘렸다.	감격의 눈물을 흘렸다	오랜 노력 끝에 이룬 성취에 감격의 눈물을 흘렸다.	감격의 눈물을 흘렸다	감동적인 이야기를 듣고 감격의 눈물을 흘렸다.	감격의 눈물을 흘렸다																	
두 손을 들어올린다.	행복하다	신나다, 행복하다	콘서트에서 좋아하는 노래가 나오자 두 손을 들어올렸다.	두 손을 들어올렸다	경기에서 승리하자 팀원들과 함께 두 손을 들어올렸다.	두 손을 들어올렸다	성공적으로 프로젝트를 마치고 두 손을 들어올리며 기쁨을 나눴다.	두 손을 들어올리며																	
두근거림을 느낀다.	감동하다	반하다, 좋다	처음 본 그녀에게 두근거림을 느꼈다. 첫 눈에 반한 느낌을 알게 되었다.	두근거림을 느꼈다	중요한 발표를 앞두고 기대감에 두근거림을 느꼈다.	두근거림을 느꼈다	새로운 도전에 나서며 설렘으로 가득 찬 두근거림을 느꼈다.	두근거림을 느꼈다																	
흥분하여 소리친다.	행복하다	신나다, 기쁘다	축구경기에서 좋아하는 팀의 골을 보고 흥분하여 소리쳤다.	흥분하여 소리쳤다	친구의 깜짝 생일파티에서 모두가 흥분하여 소리쳤다.	흥분하여 소리쳤다	새로운 여행지에 도착해 감탄하며 흥분하여 소리쳤다.	흥분하여 소리쳤다																	
고개를 끄덕인다.	편안하다	만족하다, 공감하다	좋은 의견에 공감하며 고개를 끄덕인다.	고개를 끄덕인다	맛있는 음식을 먹고 만족스럽게 고개를 끄덕인다.	고개를 끄덕인다	친구의 조언에 공감하며 고개를 끄덕인다.	고개를 끄덕인다																	
입술을 깨물다.	무섭다	무섭다	그녀는 친구의 새 자동차를 보며 입술을 깨물었다.	입술을 깨물었다	남자친구가 다른 여자와 이야기하는 것을 보고 입술을 깨물었다.	입술을 깨물었다	함께 시작했지만, 홀로 승승장구하는 친구를 보며 입술을 깨물었다.	입술을 깨물었다																	
두 팔을 벌려 포옹한다.	감동하다	애틋하다, 행복하다	오랜만에 만난 친구를 보고 두 팔을 벌려 포옹했다.	두 팔을 벌려 포옹했다	공항에서 돌아온 남편을 두 팔을 벌려 포옹했다.	두 팔을 벌려 포옹했다	성공적인 발표를 마친 후 동료와 두 팔을 벌려 포옹했다.	두 팔을 벌려 포옹했다																	
미간을 찌푸린다.	편안하다	공감하다, 만족하다	친구의 어려운 사정을 듣고 미간을 찌푸렸다.	미간을 찌푸렸다	맛있는 음식을 먹고도 미간을 찌푸리며 더 좋은 맛을 상상했다.	미간을 찌푸리며	영화의 슬픈 장면을 보고 미간을 찌푸렸다.	미간을 찌푸렸다																	
깊은 한숨을 내쉰다.	편안하다	안정되다, 편안하다	시험을 끝내고 깊은 한숨을 내쉬었다.	깊은 한숨을 내쉬었다	집에 돌아와 소파에 누워 깊은 한숨을 내쉬었다.	깊은 한숨을 내쉬었다	목욕을 마친 후 깊은 한숨을 내쉬며 휴식을 취했다.	깊은 한숨을 내쉬며																	
기대에 찬 얼굴을 한다.	행복하다	행복하다, 신나다	여행을 떠나기 전 기대에 찬 얼굴을 했다.	기대에 찬 얼굴을 했다	선물을 받을 생각에 기대에 찬 얼굴을 했다.	기대에 찬 얼굴을 했다	콘서트 티켓을 손에 쥐고 기대에 찬 얼굴을 했다.	기대에 찬 얼굴을 했다																	
감탄사를 외친다.	감동하다	감동하다, 기쁘다	아름다운 일출을 보고 감탄사를 외쳤다.	감탄사를 외쳤다	생일 파티에서 친구들이 준비한 선물에 감탄사를 외쳤다.	감탄사를 외쳤다	시험 결과를 보고 기쁨의 감탄사를 외쳤다.	감탄사를 외쳤다																	
눈을 반짝이며 쳐다본다.	감동하다	반하다, 감동하다	마음에 드는 사람을 처음 본 순간 눈을 반짝이며 쳐다보았다.	눈을 반짝이며 쳐다보았다	선생님의 감동적인 말에 학생들이 눈을 반짝이며 쳐다보았다.	눈을 반짝이며 쳐다보았다	새로운 장난감을 본 아이가 눈을 반짝이며 쳐다보았다.	눈을 반짝이며 쳐다보았다																	
목소리가 떨린다.	감동하다	애틋하다, 감동하다	목소리가 떨리며 그의 진심이 느껴졌다.	목소리가 떨리며	그녀는 감동의 순간에 목소리가 떨렸다.	목소리가 떨렸다	이별 후 다시 만난 순간, 그의 목소리는 애틋하게 떨렸다.	목소리는 애틋하게 떨렸다																	
눈물을 글썽인다.	감동하다	애틋하다, 감동하다	그녀는 오랜만에 만난 친구의 이야기에 눈물을 글썽였다.	눈물을 글썽였다	감동적인 영화의 마지막 장면에서 눈물을 글썽이며 미소 지었다.	눈물을 글썽이며	애틋한 재회 장면을 보며 눈물을 글썽였다.	눈물을 글썽였다																	
어깨를 으쓱한다.	편안하다	만족하다, 편안하다	어깨를 으쓱하며 자신의 성과에 만족해했다.	어깨를 으쓱하며	칭찬을 받고 어깨를 으쓱하며 편안한 미소를 지었다.	어깨를 으쓱하며	문제를 해결한 후 어깨를 으쓱하며 자신감을 보였다.	어깨를 으쓱하며																	
손을 흔들며 인사한다.	행복하다	행복하다, 기쁘다	친구를 보고 반가워 손을 흔들며 인사했다.	손을 흔들며 인사했다	공항에서 오랜만에 만난 가족에게 손을 흔들며 인사했다.	손을 흔들며 인사했다	기쁜 마음으로 손을 흔들며 새로운 이웃에게 인사했다.	손을 흔들며																	
콧노래를 부른다.	행복하다	기쁘다, 신나다	여행 온 아침. 산책로를 걸으며 기분 좋게 콧노래를 불렀다.	콧노래를 불렀다	성공적인 발표 후, 기쁘게 콧노래를 부르며 집으로 돌아갔다.	콧노래를 부르며	신나는 음악을 들으며 콧노래를 부르며 춤추었다.	콧노래를 부르며																	
가슴이 벅차 오른다.	감동하다	감동하다, 행복하다	가슴이 벅차 오르며 감동의 순간을 맞이했다.	가슴이 벅차 오르며	아이의 첫걸음을 보며 가슴이 벅차 올랐다.	가슴이 벅차 올랐다	평생의 꿈을 이룬 순간, 가슴이 벅차 오르며 눈물을 흘렸다.	가슴이 벅차 오르며																	
얼굴이 환하게 밝아진다.	행복하다	행복하다, 좋다	친구들과의 재회에 얼굴이 환하게 밝아졌다.	얼굴이 환하게 밝아졌다	좋은 소식을 듣고 얼굴이 환하게 밝아졌다.	얼굴이 환하게 밝아졌다	성공적인 결과에 얼굴이 환하게 밝아져 기쁨을 감추지 못했다.	얼굴이 환하게 밝아져																	
손가락을 꼼지락거린다.	감동하다	선호하다, 행복하다	그는 좋아하는 음악을 들으며 행복함에 손가락을 꼼지락거렸다.	손가락을 꼼지락거렸다	새로운 책을 고르는 그의 모습에서, 선호하는 책을 찾아 행복해하는 손가락 꼼지락거림이 보였다.	손가락 꼼지락거림	그녀는 선호하는 영화의 한 장면을 볼 때마다 행복에 젖어 손가락을 꼼지락거렸다.	손가락을 꼼지락거렸다																	눈썹주름근이 수축하면 이마에 수직으로 주름이 생기면서 양 눈썹이 밑으로 향함
호기심 가득한 눈빛을 한다.	감동하다	선호하다, 기쁘다	새로운 장난감을 처음 본 아이는 호기심 가득한 눈빛으로 그것을 바라보았다.	호기심 가득한 눈빛으로	그는 선호하는 작가의 신작을 보며 기쁨과 호기심 가득한 눈빛을 보였다.	호기심 가득한 눈빛을 보였다	새로운 경험 앞에 선 그녀는 기쁘고 호기심 가득한 눈빛으로 모험을 시작했다.	호기심 가득한 눈빛으로																	찡그림의 원인 : 일련의 사유 과정 혹은 행동에서 직면하게 되는 어려움이나 유쾌하지 못함을 드러내는 표정
마음이 설렌다.	감동하다	반하다, 기쁘다	첫 데이트에 나선 그녀는 반함과 기쁨에 마음이 설렜다.	마음이 설렜다	그는 자신이 좋아하는 사람을 볼 때마다 반함과 기쁨에 마음이 설렜다.	마음이 설렜다	새로운 도전을 앞둔 그는 반함과 기쁨에 가득 차 마음이 설렜다.	마음이 설렜다																	
허리를 굽혀 웃는다.	행복하다	신나다, 기쁘다	친구들과의 만남에서 그는 신나고 기쁜 마음에 허리를 굽혀 웃었다.	허리를 굽혀 웃었다	아이들이 노는 모습을 보며, 그녀는 신나고 기쁜 마음에 허리를 굽혀 웃었다.	허리를 굽혀 웃었다	성공적인 프로젝트 완료 후, 팀원들은 신나고 기쁜 마음에 허리를 굽혀 웃었다.	허리를 굽혀 웃었다																	
눈길을 주체 못하고 쳐다본다.	감동하다	반하다, 선호하다	그는 반한 그림 앞에서 눈길을 주체하지 못하고 쳐다보았다.	눈길을 주체하지 못하고 쳐다보았다	그녀는 선호하는 디자인의 가방을 보며 눈길을 주체 못하고 쳐다보았다.	눈길을 주체 못하고 쳐다보았다	새로운 취미에 반해 그는 눈길을 주체 못하고 관련 도서를 쳐다보았다.	눈길을 주체 못하고 																	
감사의 인사를 건넨다.	편안하다	공감하다, 감동하다	그녀는 도움을 준 친구에게 공감과 감동의 마음으로 감사의 인사를 건넸다.	감사의 인사를 건넸다	강연자의 말에 깊이 공감하고 감동한 청중은 감사의 인사를 건넸다.	감사의 인사를 건넸다	도움을 받고 공감과 감동을 느낀 그는 진심으로 감사의 인사를 건넸다.	감사의 인사를 건넸다																	
처진 입 언저리	슬프다	후회하다, 언짢다	지하철에서 자리를 양보하지 않는 사람들을 보며 그녀의 입 언저리가 처졌다.	입 언저리가 처졌다	회의 시간 내내 상사의 불합리한 요구에 동료의 입 언저리가 점점 더 처져갔다.	입 언저리가 점점 더 처져갔다	아이가 원하는 장난감을 사주지 않자, 그의 입 언저리가 처지며 울음을 터뜨렸다.	입 언저리가 처지며																	
부루퉁해진다.	슬프다	후회하다, 언짢다	친구의 무심한 말에 그녀는 부루퉁해져서 말을 잇지 못했다.	부루퉁해져서	연락이 늦은 남자친구에게 전화가 왔을 때, 이미 그는 부루퉁해진 상태였다.	부루퉁해진	저녁 약속을 잊고 집에 온 엄마에게 아이가 부루퉁해졌다.	부루퉁해졌다																	
입을 내민다.	슬프다	후회하다, 언짢다	아이가 채소를 먹으라는 엄마의 말에 입을 내밀며 거부했다.	입을 내밀며	농담을 잘못 받아들인 친구가 입을 내밀고는 고개를 돌렸다.	입을 내밀고는	그는 요리의 맛이 없다며 입을 내밀고 투덜거렸다.	입을 내밀고 투덜거렸다.																	
입이 코끝에 닿을 듯 나온다.	슬프다	후회하다, 언짢다	그녀는 서류가 또 다시 잘못 전달되었다는 소식에 입이 코끝에 닿을 듯 언짢아했다.	입이 코끝에 닿을 듯	버스가 또 늦어지자, 그는 입이 코끝에 닿을 듯 투덜거렸다.	입이 코끟에 닿을 듯	아침부터 계속되는 잡음에 집중할 수 없어, 그는 입이 코끝에 닿을 듯 짜증을 냈다.	입이 코끝에 닿을 듯																	
찡그린다.	싫다	싫다, 괴롭다	고양이가 목욕을 싫어해서 물을 보자마자 찡그렸다.	찡그렸다	아이가 숙제를 하기 싫어서 공책을 보며 얼굴을 찡그렸다.	찡그렸다	그는 불쾌한 냄새를 맡고 자신도 모르게 얼굴을 찡그렸다.	찡그렸다																	
물체를 밀쳐 버린다.	싫다	싫다, 괴롭다	그녀는 화가 나서 테이블 위의 컵을 밀쳐 버렸다.	컵을 밀쳐 버렸다	아이가 장난감을 싫어해서 한쪽으로 밀쳐 버렸다.	밀쳐 버렸다	직장인이 서류 더미를 보며 싫증이 나서 책상 위를 밀쳐 버렸다.	밀쳐 버렸다																	
무언가를 토해 낼 듯 입을 크게 연다.	싫다	싫다, 괴롭다	의사 앞에서 아이가 약을 먹기 싫어 입을 크게 열었다.	입을 크게 열었다	매운 음식을 먹고 난 후, 그는 혀를 감싼 불편함에 입을 크게 벌려 소호했다.	입을 크게 벌려	무서운 장면을 본 아이가 놀라 입을 크게 벌리고 울음을 터뜨렸다.	입을 크게 벌리고																	
불쑥 내민 입술로 숨을 내쉰다.	싫다	싫다, 괴롭다	그녀는 불쑥 내민 입술로 짜증이 섞인 숨을 내쉬었다.	불쑥 내민 입술로 짜증이 섞인 숨을 내쉬었다	버스가 또 늦자, 그는 입술을 내밀며 한숨을 쉬었다.	입술을 내밀며 한숨을 쉬었다	아이는 숙제가 많다며 입술을 내밀고 불만의 숨을 내쉬었다.	숨을 내쉬었다																	
목구멍을 깨끗이 하기 위해 목을 가다듬는다.	싫다	싫다, 괴롭다	그녀는 불쾌한 맛을 입에서 없애려고 목구멍을 가다듬었다.	목구멍을 가다듬었다	먼지가 많은 방에서, 그는 자주 목을 가다듬어야 했다.	목을 가다듬어야	음식을 잘못 삼킨 후, 아이는 목구멍을 가다듬으며 불편함을 표했다.	목구멍을 가다듬으며																	
구역질한다.	싫다	싫다, 괴롭다	배가 많이 불편해서, 그녀는 계속 구역질을 느꼈다.	구역질을 느꼈다	높은 곳을 보며, 그는 어지러움과 함께 구역질을 경험했다.	구역질	이상한 냄새가 나자, 아이는 코를 찡그리며 구역질을 했다.	구역질을																	
구토하다	싫다	싫다, 괴롭다	바다에서의 첫 낚시에서, 그는 멀미로 인해 구토했다.	구토했다	식중독 증상으로, 그녀는 밤새도록 구토했다.	구토했다	너무 많이 먹은 후, 아이는 불편함을 호소하며 구토했다.	구토했다																	
혀를 내민다.	싫다	싫다, 괴롭다	매운 음식을 먹고 난 후, 그는 혀를 내밀며 고통을 호소했다.	혀를 내밀며	불쾌한 맛의 약을 먹은 아이는 혀를 내밀었다.	혀를 내밀었다	그녀는 농담을 듣고 찡그리고 혀를 내밀며 싫은 표정을 지었다.	혀를 내밀며																	
머리를 양쪽으로 흔든다.	싫다	싫다	그 제안에 대해 그녀는 머리를 양쪽으로 흔들며 싫다는 의사를 분명히 했다.	머리를 양쪽으로 흔들며	숙제 더 하고 싶어? 아이는 머리를 양쪽으로 흔들며 대답했다.	머리를 양쪽으로 흔들며	저녁 메뉴로 브로콜리를 먹자는 말에 그는 강하게 머리를 양쪽으로 흔들었다.	머리를 양쪽으로 흔들었다																	
갸우뚱한다.	싫다	싫다	이 옷 어때? 그녀의 질문에 친구는 갸우뚱하며 별로라는 반응을 보였다.	갸우뚱하며	할머니가 내민 김치를 보고 아이는 갸우뚱하며 싫어하는 표정을 지었다.	갸우뚱하며	제안을 듣고 그는 갸우뚱하며 고민하는 듯한 모습을 보였다. 결국 제안을 거절했다.	갸우뚱하며																	
메마른 얼굴	싫다	불편하다	긴 회의 후 그의 메마른 얼굴에서 불편함이 느껴졌다.	메마른 얼굴에서	그녀는 메마른 얼굴로 창밖을 바라보며 불편해하는 기색을 숨기지 못했다.	메마른 얼굴로	메마른 얼굴로 집에 돌아온 그는 하루의 불편함을 토로했다.	메마른 얼굴																	
후하고 긴 휘파람을 내쉰다.	싫다	불편하다	버스 안에서 그는 후하고 긴 휘파람을 내쉬며 불편한 마음을 표현했다.	후하고 긴 휘파람을 내쉬며	대기 시간이 길어지자, 그는 불편함을 느끼며 후하고 긴 휘파람을 내쉬었다.	후하고 긴 휘파람을 내쉬었다	그녀는 후하고 긴 휘파람을 내쉬며 상황의 불편함을 우회적으로 나타냈다.	후하고 긴 휘파람을 내쉬며																	
얼굴을 붉힌다.	싫다	부끄럽다	그의 칭찬에 그녀는 얼굴을 붉히며 부끄러워했다.	얼굴을 붉히며	발표 중에 실수를 하자, 그는 얼굴을 붉히며 부끄러워했다.	얼굴을 붉히며	모두의 시선이 집중되자 그는 얼굴을 붉히며 자리에서 일어났다.	얼굴을 붉히며																	
얼굴이 새빨개진다.	싫다	부끄럽다	그녀는 실수를 지적받고 얼굴이 새빨개졌다.	얼굴이 새빨개졌다	제자들 앞에서 상사에게 혼나는 일은 그녀의 얼굴을 새빨갛게 만들었다.	얼굴을 새빨갛게 만들었다.	무대 위에서 모두의 시선을 받으니 얼굴이 새빨개졌다.	얼굴이 새빨개졌다																	
목까지 붉어진다.	싫다	부끄럽다	수업 시간에 갑자기 이름이 불리자, 그녀는 목까지 붉어지며 부끄러워했다.	목까지 붉어지며	첫 발표에서 실수를 하고 말았을 때, 그의 목까지 붉어지며 모두의 시선을 피했다.	목까지 붉어지며	친구들 앞에서 농담의 대상이 되자, 그는 얼굴뿐만 아니라 목까지 붉어지며 당황해했다.	목까지 붉어지며																	
홍조를 띠었다.	싫다	부끄럽다	그녀의 칭찬을 듣고, 그는 홍조를 띠며 부끄러운 미소를 지었다.	홍조를 띠며	모두가 지켜보는 가운데, 그의 얼굴은 홍조를 띠었고, 마음은 부끄러움으로 가득 찼다.	홍조를 띠었고	첫 데이트에서 사랑의 고백을 받자, 그녀는 홍조를 띠며 부끄러움을 감추려 했다.	홍조를 띠며																	
얼굴이 극도로 창백해진다.	싫다	부끄럽다	그녀에게 말을 건네려다가, 그는 긴장으로 얼굴이 극도로 창백해지며 말을 잃었다.	얼굴이 극도로 창백해지며	모두의 주목을 받으며, 그는 부끄러움 때문에 얼굴이 극도로 창백해졌다.	얼굴이 극도로 창백해졌다	비밀이 드러나자, 그의 얼굴은 극도로 창백해지며 부끄러움을 감추지 못했다.	얼굴은 극도로 창백해지며																	
동요하고 온몸을 떤다.	싫다	부끄럽다	주목받는 것을 싫어하는 그녀는, 모두의 시선을 받으며 동요하고 온몸을 떨었다.	동요하고 온몸을 떨었다	발표 도중 실수를 하자, 그는 부끄러움에 동요하고 온몸을 떨며 무대에서 내려왔다.	동요하고 온몸을 떨며	친구들 앞에서 농담의 대상이 되자, 그는 부끄러움에 온몸을 떨며 동요했다.	온몸을 떨며 동요했다																	
약간의 눈물이 흐른다.	싫다	부끄럽다	친구들 앞에서 실수한 후, 부끄러움에 약간의 눈물이 그녀의 눈가를 적셨다.	약간의 눈물이 그녀의 눈가를 적셨다	그는 자신의 창피한 모습을 숨길 수 없어 부끄러움에 눈물을 약간 흘렸다.	눈물을 약간 흘렸다	철없는 시절에 했던 실수를 인정하면서, 그녀는 부끄러움에 눈물이 약간 흘렀다.	눈물이 약간 흘렀다																	
낯이 뜨거워진다.	싫다	부끄럽다	엄마가 나의 부끄러운 추억을 애인 앞에서 말할 때, 낯이 뜨거워지고 부끄러워했다.	낯이 뜨거워지고 부끄러워했다.	잘못된 대답을 한 후, 그는 낯이 뜨거워지며 부끄러움을 느꼈다.	낯이 뜨거워지며	첫 데이트에서 고백을 받고, 그녀의 낯이 뜨거워지며 부끄러워했다.	낯이 뜨거워지며																	
심장박동이 빨라지고, 숨이 가빠진다.	싫다	부끄럽다	열심히 공연을 이어가던 중, 많은 관중이 나를 보고 있다는 사실을 문득 인지했다. 나는 심장박동이 빨라지고 숨이 가빠졌다.	나는 심장박동이 빨라지고 숨이 가빠졌다.	상사의 갑작스러운 질책에 그녀는 심장이 빨리 뛰고 숨이 가빠지며 부끄러워했다.	심장이 빨리 뛰고 숨이 가빠지며	모두의 시선이 집중될 때, 그는 부끄러움에 심장박동이 빨라지고 숨이 가빠졌다.	심장박동이 빨라지고 숨이 가빠졌다																	
검은 얼굴	싫다	불편하다	상사의 꾸지람을 받을 때 나는 검은 얼굴로 서 있을 수 밖에 없었다.	검은 얼굴	친구들 사이에서 오해를 받았을 때, 검은 얼굴로 말없이 있었다.	검은 얼굴	불공평한 대우를 받고 검은 얼굴로 회의실을 나왔다.	검은 얼굴																	
마음이 혼란스러워진다.	싫다	부끄럽다	거짓말이 들킬까 봐 마음이 혼란스러워졌다.	마음이 혼란스러워졌다	내가 친아들이 아니라니, 무슨 만화에나 나올 듯한 얘기를 들을 듯 했다. 마음이 혼란스러워졌다.	마음이 혼란스러워졌다.	짝사랑하는 사람에게 말을 건네려 할 때 마음이 혼란스러워졌다.	마음이 혼란스러워졌다																	
고개를 떨구고, 들지 못한다.	싫다	부끄럽다	비난을 받자 고개를 떨구고 말도 못했다.	고개를 떨구고	실패를 인정하는 순간, 고개를 떨구고 들지 못했다.	고개를 떨구고 들지 못했다	친구에게 실수를 인정할 때 고개를 떨구고 사과했다.	고개를 떨구고																	
눈이 밑으로 향한다.	싫다	부끄럽다	비밀을 털어놓을 때, 자연스레 눈이 밑으로 향했다.	눈이 밑으로 향했다	오랜만에 만난 친구에게 눈이 밑으로 향하며 인사했다. 당장이라도 자리를 피하고 싶었다.	눈이 밑으로 향하며	선생님의 질문에 대답을 못 해서 눈이 밑으로 향했다.	눈이 밑으로 향했다																	
눈을 안절부절못한다.	싫다	부끄럽다	숨기던 본심을 들키자 눈을 이리저리 굴리며 안절부절못했다.	눈을 이리저리 굴리며 안절부절못했다	너무나도 부끄러워서, 그녀는 안절부절못하는 기색으로 말없이 자리를 피했다.	안절부절못하는	처음 만난 사람 앞에서 눈을 안절부절 못하며, 그는 부끄러움을 느꼈다.	눈을 안절부절 못하며																	
멍해진다.	싫다	부끄럽다	그녀는 자신이 고집부렸던 부분이 실수라는 것을 깨닫고 멍해져 버렸다.	멍해져 버렸다	모두의 시선이 집중될 때, 나는 자연스레 멍해지곤 한다. 내가 무슨 말을 했는지는 당연히 기억하지 못한다.	멍해지곤	발표 중에 말을 잃었을 때, 그는 부끄러움에 멍해져만 있었다. 현실을 부정하는 듯 보였다.	멍해져만																	
턱이 아래로 쳐져서 입이 벌어진다.	싫다	귀찮다	또 누군가 내게 잔소리를 시작하자, 나는 턱이 쳐져서 입이 벌어졌다.	턱이 쳐져서 입이 벌어졌다	또 해야 돼? 그가 턱을 아래로 떨어뜨리며 귀찮은 기색을 드러냈다.	턱을 아래로 떨어뜨리며	일어나자마자 청소를 해야 한다는 말에 그의 턱이 천천히 아래로 내려갔다.	턱이 천천히 아래로 내려갔다																	
창백한 얼굴	싫다	불편하다	강의 중 갑작스런 소화불량으로 그녀의 얼굴이 창백해졌다.	얼굴이 창백해졌다	출근부터 안색이 안 좋았던 그는, 회의 중에도 그의 창백한 얼굴이 묘한 불편함을 드러냈다.	창백한 얼굴이	기차 안에서 멀미가 나자, 그는 창백한 얼굴로 불편해했다.	창백한 얼굴로																	
눈썹 치켜올려 눈을 빠르고 크게 뜬다.	무섭다	놀라다	갑작스레 뒤에서 이름을 불리자 그는 놀라 눈썹을 치켜올리며 눈을 크게 떴다.	눈썹을 치켜올리며 눈을 크게 떴다	비밀상자 안에 반짝이는 보석을 발견했을 때, 그는 눈을 크게 뜨고 놀라움을 감추지 못했다.	눈을 크게 뜨고 놀라움을 감추지 못했다	한밤중에 갑자기 들린 천둥소리에 그녀는 놀라 눈썹을 치켜올리고 눈을 크게 떴다.	눈썹을 치켜올리고 눈을 크게 떴다																	
주변을 빠르게 확인한다.	무섭다	놀라다	문이 활짝 열리자마자 그는 놀라 주변을 빠르게 둘러보았다.	주변을 빠르게 둘러보았다	집 안에서 이상한 소리가 들려왔을 때, 그는 놀라며 주변을 신속하게 살폈다.	주변을 신속하게 살폈다	공원에서 갑자기 커다란 그림자가 나타나자, 그녀는 놀라 주변을 빠르게 확인했다.	놀라 주변을 빠르게 확인했다																	
눈을 부릅뜨고 사납게 응시한다.	무섭다	놀라다	갑작스러운 움직임에 놀라 눈을 부릅뜨고 그 방향을 사납게 응시했다.	사납게 응시했다	알 수 없는 소리에 놀라 눈을 부릅뜨고 어둠 속을 응시했다.	눈을 부릅뜨고 어둠 속을 응시했다	갑자기 커다란 고양이가 튀어나오자, 놀라서 눈을 부릅뜨고 사납게 응시했다.	눈을 부릅뜨고 사납게 응시했다																	
입을 크게 벌린다.	무섭다	놀라다	마술사의 마술을 보고 그는 놀라움에 입을 크게 벌렸다.	입을 크게 벌렸다	갑작스러운 소식에 그녀는 입을 크게 벌리고 말을 잊었다.	입을 크게 벌리고	첫 눈을 보며 아이는 놀라움에 입을 크게 벌렸다.	입을 크게 벌렸다																	
입술 내밀기	무섭다	놀라다	놀란 마음에 어쩔 줄 몰라 하며 입술을 살짝 내밀었다.	입술을 살짝 내밀었다	갑자기 등 뒤에서 누군가를 느끼고 놀라 입술을 내밀었다.	입술을 내밀었다	무서운 이야기를 듣고 놀라 입술을 내밀며 눈을 동그랗게 떴다. 인상은 자연스레 찡그려졌다.	입술을 내밀며																	
